id,userID,time,status,rest_long,rest_lat,distance,user_long,user_lat,name,gender,age,vacation
1,425,8:57:00 PM,1,30.09510792,31.31536406,23,30.29864864,31.23977193,1,1,25,0
2,374,7:44:00 PM,0,30.09510792,31.31536406,31,30.22166017,31.05154304,1,0,22,0
3,714,1:29:00 PM,0,30.09510792,31.31536406,45,30.52581257,31.2733016,1,0,42,1
4,697,6:50:00 PM,1,30.09510792,31.31536406,7,30.13829112,31.26290271,1,0,41,1
5,663,10:52:00 PM,1,30.09510792,31.31536406,7,30.16427566,31.29993624,1,1,39,1
6,595,9:50:00 PM,1,30.09510792,31.31536406,15,30.13615261,31.17472557,0,0,35,0
7,408,3:20:00 PM,1,30.09510792,31.31536406,37,30.04888033,31.66201297,1,0,24,0
8,612,8:26:00 PM,1,30.09510792,31.31536406,40,30.4445297,31.15433369,1,1,36,0
9,527,3:48:00 PM,1,30.09510792,31.31536406,12,30.18033641,31.396449,1,1,31,1
10,816,10:43:00 PM,1,30.09510792,31.31536406,21,30.12506404,31.11262163,1,1,48,1
11,561,9:34:00 PM,1,30.09510792,31.31536406,20,30.2752314,31.25569981,1,1,33,0
12,918,9:02:00 PM,2,30.09510792,31.31536406,19,30.27195243,31.27907543,1,1,54,0
13,714,1:46:00 PM,1,30.09510792,31.31536406,26,30.01776114,31.07731457,0,0,42,0
14,918,2:44:00 PM,1,30.09510792,31.31536406,20,30.07911181,31.12425089,0,1,54,0
15,629,7:51:00 PM,1,30.09510792,31.31536406,27,30.24998131,31.11038502,1,0,37,1
16,663,10:34:00 PM,1,30.09510792,31.31536406,25,30.21265238,31.10976526,1,0,39,0
17,731,9:10:00 PM,2,30.09510792,31.31536406,33,30.2775887,31.06245122,1,1,43,1
18,646,10:31:00 PM,2,30.09510792,31.31536406,25,30.27475587,31.15474935,1,0,38,0
19,629,2:48:00 PM,1,30.09510792,31.31536406,14,30.12282693,31.18555697,1,0,37,0
20,578,10:43:00 PM,1,30.09510792,31.31536406,16,30.12112075,31.16102791,1,0,34,1
21,408,3:55:00 PM,1,30.09510792,31.31536406,23,30.28983823,31.4179355,1,0,24,1
22,646,6:40:00 PM,1,30.09510792,31.31536406,61,30.63435469,31.10443031,1,0,38,0
23,969,10:22:00 PM,1,30.09510792,31.31536406,28,30.1151165,31.05071132,0,0,57,0
24,595,1:07:00 PM,1,30.09510792,31.31536406,27,30.19862127,31.07480278,1,0,35,0
25,884,6:31:00 PM,2,30.09510792,31.31536406,10,30.03070101,31.23890441,1,1,52,0
26,527,2:20:00 PM,1,30.09510792,31.31536406,25,30.28348931,31.17385029,1,1,31,0
27,1003,1:55:00 PM,1,30.09510792,31.31536406,41,30.47547948,31.42268465,1,0,59,0
28,799,9:54:00 PM,1,30.09510792,31.31536406,32,30.31826406,31.10280086,1,0,47,0
29,493,7:22:00 PM,1,30.09510792,31.31536406,14,30.14841362,31.19439228,1,0,29,1
30,782,1:54:00 PM,1,30.09510792,31.31536406,22,30.25073349,31.17348574,1,0,46,0
31,476,10:25:00 PM,1,30.09510792,31.31536406,19,30.16027688,31.14559625,1,0,28,0
32,748,1:00:00 PM,2,30.09510792,31.31536406,28,30.12230038,31.05319047,0,1,44,1
33,714,5:37:00 PM,1,30.09510792,31.31536406,14,30.18387084,31.21860541,1,0,42,0
34,374,4:38:00 PM,1,30.09510792,31.31536406,4,30.1144444,31.28675686,1,1,22,0
35,442,2:44:00 PM,1,30.09510792,31.31536406,33,30.32925242,31.10908928,1,0,26,0
36,1003,7:23:00 PM,1,30.09510792,31.31536406,9,30.01684225,31.35108809,1,0,59,0
37,816,10:08:00 PM,1,30.09510792,31.31536406,21,30.2716945,31.22535041,1,1,48,0
38,646,1:35:00 PM,2,30.09510792,31.31536406,12,30.05583508,31.21092248,1,0,38,1
39,459,9:10:00 PM,2,30.09510792,31.31536406,20,30.02979321,31.49855412,1,0,27,0
40,935,6:53:00 PM,1,30.09510792,31.31536406,23,30.07460838,31.10119182,1,0,55,0
41,357,3:10:00 PM,1,30.09510792,31.31536406,33,30.16566434,31.0109734,1,0,21,1
42,476,6:58:00 PM,1,30.09510792,31.31536406,13,30.00111755,31.39001862,1,0,28,0
43,935,9:35:00 PM,1,30.09510792,31.31536406,31,30.25626236,31.06217336,0,0,55,0
44,442,5:45:00 PM,1,30.09510792,31.31536406,33,30.13528258,31.00669964,1,1,26,1
45,952,5:30:00 PM,1,30.09510792,31.31536406,28,30.04025798,31.05374227,1,0,56,0
46,765,3:45:00 PM,1,30.09510792,31.31536406,19,30.00086177,31.15534813,0,0,45,0
47,663,9:44:00 PM,1,30.09510792,31.31536406,8,30.16395979,31.28245158,1,1,39,0
48,748,9:49:00 PM,1,30.09510792,31.31536406,34,30.21393955,31.01753311,0,0,44,0
49,850,3:46:00 PM,1,30.09510792,31.31536406,25,30.27947557,31.17114078,0,0,50,1
50,952,2:00:00 PM,1,30.09510792,31.31536406,36,30.30628224,31.58591285,0,0,56,0
51,986,9:20:00 PM,1,30.09510792,31.31536406,43,30.40527178,31.05256271,1,0,58,0
52,612,4:30:00 PM,1,30.09510792,31.31536406,18,30.17204413,31.16103749,1,0,36,1
